Name,Title,Place publication,Publisher,Date of publication
"Orwell, George",England your England,London,Penguin,2017
"Orwell, George",England your England,London,Penguin,2017
"Orwell, George",The road to Wigan Pier,London,Penguin,2014
"Orwell, George",The road to Wigan Pier,London,Harvill Secker,2018
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
"Orwell, George",The road to Wigan Pier,Oxford,Oxford University Press,2021
"Orwell, George",The road to Wigan Pier,London,Arcturus,2021
"Orwell, George",The road to Wigan Pier,London,HarperCollins,2021
"Orwell, George",The road to Wigan Pier,London,Macmillan,2021
"Orwell, George",The road to Wigan Pier,London,Arcturus Digital,2021
"Orwell, George",The road to Wigan Pier,London,Penguin,2014
"Orwell, George","Orwell and politics : Animal Farm in the context of essays, reviews and letters selected from The complete works of George Orwell",London,Penguin,2020
"Orwell, George",Fascism and democracy,London,Penguin,2020
"Orwell, George",Fascism and democracy,London,Penguin,2020
"Orwell, George",Notes on nationalism,London,Penguin,2018
"Orwell, George",Orwell on freedom,London,Harvill Secker,2018
"Orwell, George",Orwell on freedom,London,Vintage Digital,2018
"Orwell, George",The lion and the unicorn,London,Penguin,2018
"Orwell, George",The lion and the unicorn : socialism and the English genius,London,Penguin,2018
"Armstrong, Stephen",The road to Wigan Pier revisited,London,Constable,2012
"Orwell, George",Down and out in Paris and London,London,Harvill Secker,2020
"Orwell, George",Down and out in Paris and London,London,Harper,2021
"Orwell, George",Down and out in Paris and London,London,Harper,2021
"Orwell, George",Down and out in Paris and London,Oxford,Oxford University Press,2021
"Orwell, George",Down and out in Paris and London,London,Arcturus,2021
"Orwell, George",Down and out in Paris and London,London,Vintage Classics,2021
"Orwell, George",Down and out in Paris and London,London,Harper,2021
"Orwell, George",Down and out in Paris and London,London,Macmillan,2021
"Orwell, George",Politics and the English language,London,Renard Press,2021
"Orwell, George",Politics and the English language,London,Renard Press,2021
"Orwell, George",Animal farm,Oxford,Oxford University Press,2021
"Orwell, George",Nineteen eighty-four,London,Penguin,2020
"Orwell, George",Animal farm,London,Penguin,2020
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2019
"Orwell, George",Animal farm : the graphic novel,London,Penguin,2020
"Wilson, SeÃ¡n Michael","The illustrated Orwell - Such, such were the joys",Oxford,New Internationalist,2021
"Orwell, George",Nineteen eighty-four,London,Penguin,2021
"Orwell, George",The art of Donald McGill,,Greaves & Thomas,2009
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2015
"Ervin, Andrew",Burning down George Orwell's house,New York,Soho,2016
"Gupta, Ashis",Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel,Calgary,Bayeux Arts,2018
